,Origin,Destination,Average Flight Time
434,DEN,SNA,160.79761904761904
435,IAD,BNA,160.5
436,SEA,SFO,160.17543859649123
437,ORD,RDU,160.0
438,PHX,SFO,159.93243243243242
439,GEG,DEN,159.86111111111111
440,RSW,CLE,158.8695652173913
441,EWR,ORD,158.68393782383419
442,CLT,EWR,158.55555555555554
443,IAH,ORD,158.48876404494382
444,EWR,CLT,158.36363636363637
445,CHS,EWR,157.9090909090909
446,IAH,RSW,157.83636363636364
447,EWR,MCO,157.56331877729258
448,OMA,IAH,156.05
449,MCO,AUS,156.0
450,ALB,ORD,155.3181818181818
451,MCI,ORD,155.11111111111111
452,MSO,DEN,154.91666666666666
453,IAH,JAX,154.375
454,BNA,ORD,154.3684210526316
455,DEN,TUL,153.4375
456,IAH,COS,153.0
457,SFO,SEA,152.68103448275863
458,IAH,MIA,152.26027397260273
459,DEN,MFR,152.0
460,DEN,GEG,151.8095238095238
461,IAH,TUL,151.1818181818182
462,DEN,DCA,151.06666666666666
463,SMF,DEN,150.90322580645162
464,IAH,BNA,150.66666666666666
465,ORD,BOS,150.2719298245614
466,RDU,EWR,149.78125
467,ORD,DEN,149.63063063063063
468,DEN,ONT,149.5
469,MIA,IAD,149.27272727272728
470,FLL,IAD,148.26666666666668
471,SLC,SFO,147.88888888888889
472,LAX,DFW,147.5
473,MCO,EWR,146.95495495495496
474,DEN,MSN,146.86111111111111
475,TUL,IAH,146.85714285714286
476,SNA,DEN,146.41333333333333
477,LAX,IAH,146.09638554216866
478,IAD,TPA,145.86363636363637
479,DEN,RNO,145.0222222222222
480,ATL,EWR,145.01234567901236
481,ORD,PHL,144.94117647058823
482,SFO,PHX,144.5072463768116
483,PDX,DEN,144.46753246753246
484,MCO,IAH,144.4240506329114
485,IAD,ORD,144.3728813559322
486,TPA,IAH,143.57272727272726
487,ONT,DEN,143.5
488,DFW,IAD,143.5
489,MCI,DEN,143.22448979591837
490,DEN,CID,143.17857142857142
491,DFW,DEN,142.8
492,IAH,FLL,141.990099009901
493,ORD,BTV,141.5
494,EWR,CLE,141.39285714285714
495,DEN,SFO,141.34375
496,ATL,IAD,141.2
497,ORD,BDL,141.2
498,DEN,TUS,141.17241379310346
499,DEN,SAN,140.75247524752476
500,CHS,IAH,140.5
501,PSP,DEN,139.83333333333334
502,MSP,DEN,139.20967741935485
503,DSM,DEN,139.07407407407408
504,ORD,MCO,138.99428571428572
505,SAT,DEN,138.91176470588235
506,MCO,CLE,138.58333333333334
507,PHL,MSP,138.0
508,PIT,ORD,137.71428571428572
509,IAH,DEN,137.0168776371308
510,EWR,RDU,136.31428571428572
511,CLE,MCO,136.08
512,ORD,ALB,135.94444444444446
513,IAH,MCI,134.83333333333334
514,ORD,ATL,134.1904761904762
515,SNA,COS,134.0
516,LAX,RNO,134.0
517,TPA,IAD,133.83076923076922
518,IAH,MEM,133.30434782608697
519,AUS,DEN,133.2089552238806
520,SFO,MFR,133.2
521,ICT,DEN,132.8125
522,EUG,SFO,132.38095238095238
523,IAH,ATL,131.5
524,DCA,BTR,131.0
525,IAD,CVG,131.0
526,IAH,OMA,130.47619047619048
527,DEN,ICT,130.0
528,DEN,IAH,129.52479338842974
529,PSP,SFO,129.375
530,MAF,IAH,129.1578947368421
531,IAH,RIC,129.0
532,BWI,STL,129.0
533,LAX,COS,128.0
534,ORD,SYR,127.375
535,DEN,AUS,127.24242424242425
536,DEN,DFW,126.91379310344827
537,PIT,EWR,126.7
538,IND,IAH,126.5
539,CRP,IAH,126.33333333333333
540,ATL,ORD,126.26086956521739
541,BWI,ORD,126.02898550724638
542,MSP,EWR,126.0
543,EUG,DEN,125.5
544,SAN,DEN,124.89690721649484
545,CVG,ORD,124.41666666666667
546,ORD,IAD,124.41176470588235
547,IAH,MCO,124.33986928104575
548,CLE,EWR,124.21428571428571
549,JAC,SFO,124.0
550,RNO,DEN,123.61702127659575
551,DEN,BOI,123.02272727272727
552,IAD,MCO,122.95327102803738
553,DEN,ORD,122.4093023255814
554,PDX,SFO,122.2457627118644
555,SFO,DEN,121.49532710280374
556,IAH,TPA,119.53703703703704
557,ORD,EWR,119.45405405405405
558,LAX,PHX,119.16666666666667
559,OMA,DEN,118.47727272727273
560,PHX,LAX,117.53333333333333
561,ORD,BNA,117.5
562,TUS,DEN,117.1
563,STL,DEN,117.0
564,EWR,PIT,117.0
565,ROC,ORD,116.61538461538461
566,ORD,PIT,115.56
567,DEN,PHX,114.60952380952381
568,DEN,JAC,114.45454545454545
569,DEN,MSP,114.1639344262295
570,SFO,PDX,113.83471074380165
571,BOI,DEN,113.23809523809524
572,DEN,LAX,112.97282608695652
573,DEN,DSM,112.8
574,MCO,IAD,112.49532710280374
575,CVG,IAD,112.0
576,EWR,BUF,111.53846153846153
577,SFO,SLC,110.72727272727273
578,ORF,ORD,110.0
579,DLH,ORD,109.55555555555556
580,ORD,DLH,109.1875
581,SAN,SFO,109.01694915254237
582,ORD,OMA,108.96
583,DEN,LAS,108.80672268907563
584,DEN,MCI,108.79069767441861
585,ONT,SFO,108.625
586,EWR,BTV,108.41666666666667
587,LAS,BFF,108.0
588,DEN,IND,108.0
589,IAH,CRP,107.66666666666667
590,JAC,MSP,107.0
591,DEN,BZN,106.51219512195122
592,IAH,OKC,106.2
593,ORD,BUF,105.5
594,SFO,SAN,105.21621621621621
595,DEN,BIL,105.02857142857142
596,OMA,ORD,104.625
597,ORD,MCI,104.47368421052632
598,LAX,DEN,104.08333333333333
599,IAH,CHS,104.0
600,CLE,ORD,103.51612903225806
601,BZN,DEN,103.13157894736842
602,ORD,BWI,103.11290322580645
603,FSD,DEN,102.85
604,BUF,EWR,102.75
605,DEN,STL,102.0
606,CMH,ORD,102.0
607,MFR,SFO,101.5
608,BOS,IAD,101.43661971830986
609,LAS,SFO,101.32544378698225
610,BUR,SFO,100.86666666666666
611,BIL,DEN,100.86111111111111
612,OKC,IAH,100.83333333333333
613,BNA,IAD,100.66666666666667
614,IAH,MFE,100.55555555555556
615,SFO,ONT,99.26666666666667
616,SFO,PSP,98.18518518518519
617,JAC,DEN,97.05714285714286
618,BDL,IAD,96.35897435897436
619,SNA,SFO,96.25333333333333
620,LAS,DEN,94.88034188034187
621,PWM,EWR,94.83333333333333
622,DEN,FSD,94.5
623,ORD,ROC,94.08333333333333
624,EWR,ROC,93.88888888888889
625,RDU,FLL,93.0
626,SFO,SNA,92.11111111111111
627,PHX,DEN,91.59813084112149
628,IAD,CLE,91.33333333333333
629,IAD,PIT,91.2
630,DEN,SLC,90.8974358974359
631,IAD,BOS,89.96969696969697
632,MFE,IAH,89.3
633,SFO,LAS,89.23030303030303
634,DEN,OMA,89.13333333333334
635,ABQ,DEN,88.23529411764706
636,BTV,EWR,87.0
637,MSY,IAH,86.59574468085107
638,PIT,IAD,86.5
639,IAD,BDL,86.47222222222223
640,DCA,EWR,86.0
641,SLC,DEN,85.76315789473684
642,IAD,RDU,85.0
643,CVG,EWR,85.0
644,ORD,DSM,84.90322580645162
645,ORD,MSP,84.75903614457832
646,LAX,SFO,84.14070351758794
647,EWR,DCA,84.0
648,ORD,CVG,83.66666666666667
649,DTW,ORD,83.64285714285714
650,EWR,PWM,83.2
651,ORD,DTW,82.61538461538461
652,MSP,ORD,82.24358974358974
653,BOS,EWR,80.48366013071896
654,SFO,LAX,79.53367875647669
655,IAH,DFW,78.48571428571428
656,BUF,ORD,78.0
657,ROC,EWR,77.63636363636364
658,ORD,FSD,77.0
659,DFW,IAH,76.86666666666666
660,DSM,ORD,76.0
661,SFO,BUR,75.5625
662,ORD,BHM,75.0
663,ORD,CLE,74.92222222222222
664,ATL,BOS,74.8
665,FSD,ORD,74.0
666,RDU,IAD,73.15151515151516
667,IAD,EWR,72.4090909090909
668,DEN,ABQ,71.57142857142857
669,EWR,IAD,71.28205128205128
670,ORD,CMH,70.6
671,ALB,LGA,70.0
672,BGR,EWR,70.0
673,RNO,SFO,69.10526315789474
674,BOS,ATL,69.0
675,DTW,EWR,69.0
676,IAD,ORF,67.0
677,SAV,IAD,67.0
678,ORD,CID,66.25
679,LAS,LAX,65.55952380952381
680,LAX,SMF,64.0
681,SMF,LAX,64.0
682,RNO,LAX,62.0
683,PDX,SEA,62.0
684,IAH,MSY,61.788079470198674
685,EWR,BOS,61.07741935483871
686,IAH,SAT,60.69090909090909
687,LAX,LAS,60.11764705882353
688,SAT,IAH,59.873873873873876
689,SFO,RNO,58.11764705882353
690,CID,ORD,57.25
691,ORF,IAD,55.5
692,MSN,ORD,54.62068965517241
693,LAS,PHX,51.5
694,AUS,IAH,50.04615384615385
695,JAX,ATL,48.0
696,SMF,SFO,47.125
697,SFO,SMF,46.5
698,ORD,MSN,45.6
699,LAX,SAN,41.5
700,IAH,AUS,41.28346456692913
701,GRR,ORD,40.75
702,SAN,LAX,40.0
703,ORD,GRR,39.55
704,IND,ORD,38.5
705,SMF,RNO,38.0
706,AEX,IAH,36.0
707,BFF,DEN,35.0
708,GUM,SPN,33.80769230769231
709,LAX,PSP,33.5
710,SPN,GUM,32.55555555555556
711,ORD,IND,31.0
712,RNO,SMF,30.0
713,CMH,CLE,29.0
714,SJC,SFO,23.0
715,BUF,ROC,23.0
716,SWF,EWR,19.0
717,COS,DEN,18.0
718,MIA,FLL,11.0
